Datum:11.1.2020., 
Parking: parking, 
Kapacitet: 100 parking mesta 

PARKING MESTO: broj parking mesta: 1, slobodno: false, zauzeto od: datum: 11.1.2020, vreme: 9:5:35, VOZILO: registarska oznaka: BG000AA, uslo: datum: 11.1.2020, vreme: 9:4:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 68, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0067AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 69, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0068AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 70, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0069AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 71, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0070AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 72, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0071AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 73, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0072AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 74, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0073AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 75, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0074AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 76, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0075AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 77, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0076AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 78, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0077AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 79, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0078AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 80, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0079AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 81, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0080AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 82, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0081AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 83, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0082AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 84, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0083AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 85, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0084AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 86, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0085AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 87, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0086AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 88, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0087AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 89, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0088AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 90, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0089AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 91, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0090AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 92, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0091AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 93, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0092AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 94, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0093AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 95, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0094AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 96, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0095AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 97, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0096AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 98, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0097AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 99, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0098AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
PARKING MESTO: broj parking mesta: 100, slobodno: true, slobodno od: datum: 11.1.2020, vreme: 10:5:35, VOZILO: registarska oznaka: BG0099AA, izaslo: datum: 11.1.2020, vreme: 10:6:35, prijavljeno policiji: false, ima mesecnu pretplatu: false
